+++ LEAF1 with via 'cli': executing command 'show feature' +++
show feature
Feature Name          Instance  State   
ospfv3                 13         enabled(not-running)
ospfv3                 14         enabled(not-running)
ospfv3                 15         enabled(not-running)
ospfv3                 16         enabled(not-running)
pbr                    1          disabled
pim                    1          enabled 
pim6                   1          disabled
plb                    1          disabled
poe                    1          disabled
private-vlan           1          enabled 
privilege              1          disabled
ptp                    1          enabled 
restconf               1          enabled 
rip                    1          disabled
rip                    2          disabled
rip                    3          disabled
rip                    4          disabled
rise                   1          disabled
scheduler              1          disabled
scpServer              1          enabled 
segment-routing        1          disabled
sflow                  1          disabled
sftpServer             1          disabled
sla_responder          1          disabled
sla_sender             1          disabled
sla_twamp              1          disabled
smart-channel          1          disabled
srte                   1          disabled
srv6                   1          disabled
sshServer              1          enabled 
tacacs                 1          enabled 
telemetry              1          disabled
telnetServer           1          enabled 
tun_enc_mgr            1          disabled
tunnel                 1          disabled
udld                   1          enabled 
vmtracker              1          disabled
vni                    1          disabled
vnseg_vlan             1          enabled 
vpc                    1          enabled 
vrrp                   1          disabled
vrrpv3                 1          disabled
vtp                    1          disabled
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf vrf all' +++
show ip ospf vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf mpls ldp interface vrf all' +++
show ip ospf mpls ldp interface vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf database router detail vrf all' +++
show ip ospf database router detail vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf database network detail vrf all' +++
show ip ospf database network detail vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf database summary detail vrf all' +++
show ip ospf database summary detail vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf database external detail vrf all' +++
show ip ospf database external detail vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf database opaque-area detail vrf all' +++
show ip ospf database opaque-area detail vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf virtual-links vrf all' +++
show ip ospf virtual-links vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf interface vrf all' +++
show ip ospf interface vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf neighbors detail vrf all' +++
show ip ospf neighbors detail vrf all
Note:  process currently not running
LEAF1# 
+++ LEAF1 with via 'cli': executing command 'show ip ospf sham-links vrf all' +++
show ip ospf sham-links vrf all
                     ^
% Invalid command at '^' marker.
LEAF1# 
Could not learn <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfShamLinks'>
Invalid command has been executed
+====================================================================================================================================================+
| Commands for learning feature 'Ospf'                                                                                                               |
+====================================================================================================================================================+
| - Parsed commands                                                                                                                                  |
|----------------------------------------------------------------------------------------------------------------------------------------------------|
|   cmd: <class 'genie.libs.parser.nxos.show_feature.ShowFeature'>                                                                                   |
|====================================================================================================================================================|
| - Commands not accepted on the device                                                                                                              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfShamLinks'>, arguments: {'vrf':'all'}                                                    |
|====================================================================================================================================================|
| - Commands with empty output                                                                                                                       |
|----------------------------------------------------------------------------------------------------------------------------------------------------|
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspf'>, arguments: {'vrf':'all'}                                                             |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfMplsLdpInterface'>, arguments: {'interface':'','vrf':'all'}                              |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseRouterDetail'>, arguments: {'vrf':'all'}                                         |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseNetworkDetail'>, arguments: {'vrf':'all'}                                        |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseSummaryDetail'>, arguments: {'vrf':'all'}                                        |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseExternalDetail'>, arguments: {'vrf':'all'}                                       |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseOpaqueAreaDetail'>, arguments: {'vrf':'all'}                                     |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfVirtualLinks'>, arguments: {'vrf':'all'}                                                 |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfInterface'>, arguments: {'interface':'','vrf':'all'}                                     |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfNeighborDetail'>, arguments: {'neighbor':'','vrf':'all'}                                 |
|====================================================================================================================================================|
